"Date","Period","GrossExposure","PortfolioReturn","PortfolioRisk","PredictedReturn"
2023-05-04,"2023-2024",2,0.00235627214619289,0.0731896136137822,0.0203769614918187
2023-05-04,"2023-2024",2.5,0.00235627214619289,0.0731896136137822,0.0203769614918187
2023-05-04,"2023-2024",3,0.00235627214619289,0.0731896136137822,0.0203769614918187
2023-05-05,"2023-2024",1,-0.00298683320287801,0.0201309175737364,0.0137116131478714
2023-05-05,"2023-2024",1.5,-0.0031840480235648,0.0200008076567436,0.0142106621157133
2023-05-05,"2023-2024",2,-0.0031840480235648,0.0200008076567436,0.0142106621157133
2023-05-05,"2023-2024",2.5,-0.0031840480235648,0.0200008076567436,0.0142106621157133
2023-05-05,"2023-2024",3,-0.0031840480235648,0.0200008076567436,0.0142106621157133
2023-05-08,"2023-2024",1,0.00228054718213204,0.0401842976866009,0.0201846369687703
2023-05-08,"2023-2024",1.5,0.00228593657118858,0.0401838143589776,0.0202755468159591
2023-05-08,"2023-2024",2,0.00228593657118858,0.0401838143589776,0.0202755468159591
2023-05-08,"2023-2024",2.5,0.00228593657118858,0.0401838143589776,0.0202755468159591
2023-05-08,"2023-2024",3,0.00228593657118858,0.0401838143589776,0.0202755468159591
2023-05-09,"2023-2024",1,0.00103840804812672,0.0201312985738232,0.0135139552271653
2023-05-09,"2023-2024",1.5,0.000979991883290436,0.020000380686958,0.0139332744837006
2023-05-09,"2023-2024",2,0.000979991883290436,0.020000380686958,0.0139332744837006
2023-05-09,"2023-2024",2.5,0.000979991883290436,0.020000380686958,0.0139332744837006
2023-05-09,"2023-2024",3,0.000979991883290436,0.020000380686958,0.0139332744837006
2023-05-10,"2023-2024",1,-0.000752085119674864,0.0201228590582756,0.0138478151138349
2023-05-10,"2023-2024",1.5,-0.000971750455530433,0.0199985691673689,0.0143261175777788
2023-05-10,"2023-2024",2,-0.000971750455530433,0.0199985691673689,0.0143261175777788
2023-05-10,"2023-2024",2.5,-0.000971750455530433,0.0199985691673689,0.0143261175777788
2023-05-10,"2023-2024",3,-0.000971750455530433,0.0199985691673689,0.0143261175777788
2023-05-11,"2023-2024",1,-0.000165921219430821,0.0201185620420614,0.0134504588416249
2023-05-11,"2023-2024",1.5,-0.000122267763054005,0.0199885670833089,0.0138575657035004
2023-05-11,"2023-2024",2,-0.000122267763054005,0.0199885670833089,0.0138575657035004
2023-05-11,"2023-2024",2.5,-0.000122267763054005,0.0199885670833089,0.0138575657035004
2023-05-11,"2023-2024",3,-0.000122267763054005,0.0199885670833089,0.0138575657035004
2023-05-12,"2023-2024",1,0.000863019973693888,0.0194607221303751,0.012700282539481
2023-05-12,"2023-2024",1.5,0.000907611901088261,0.0193392714559975,0.013391122228968
2023-05-12,"2023-2024",2,0.000907611901088261,0.0193392714559975,0.013391122228968
2023-05-12,"2023-2024",2.5,0.000907611901088261,0.0193392714559975,0.013391122228968
2023-05-12,"2023-2024",3,0.000907611901088261,0.0193392714559975,0.013391122228968
2023-05-15,"2023-2024",1,-0.000653136308091945,0.020098740158444,0.0134043617714307
2023-05-15,"2023-2024",1.5,-0.000759334970481226,0.0199729664917375,0.0138107620310393
2023-05-15,"2023-2024",2,-0.000759334970481226,0.0199729664917375,0.0138107620310393
2023-05-15,"2023-2024",2.5,-0.000759334970481226,0.0199729664917375,0.0138107620310393
2023-05-15,"2023-2024",3,-0.000759334970481226,0.0199729664917375,0.0138107620310393
2023-05-16,"2023-2024",1,-0.000210303810839674,0.0235545204727322,0.0144445201589175
2023-05-16,"2023-2024",1.5,-0.00028854005532389,0.0234103169968975,0.0154808042080907
2023-05-16,"2023-2024",2,-0.00028854005532389,0.0234103169968975,0.0154808042080907
2023-05-16,"2023-2024",2.5,-0.00028854005532389,0.0234103169968975,0.0154808042080907
2023-05-16,"2023-2024",3,-0.00028854005532389,0.0234103169968975,0.0154808042080907
2023-05-17,"2023-2024",1,0.00147032321550564,0.020094507502917,0.012995262943624
2023-05-17,"2023-2024",1.5,0.00104295954568907,0.0199662196869904,0.0133275225653595
2023-05-17,"2023-2024",2,0.00104295954568907,0.0199662196869904,0.0133275225653595
2023-05-17,"2023-2024",2.5,0.00104295954568907,0.0199662196869904,0.0133275225653595
2023-05-17,"2023-2024",3,0.00104295954568907,0.0199662196869904,0.0133275225653595
2023-05-18,"2023-2024",1,0.000894553607199147,0.0245401194209192,0.0136223169578051
2023-05-18,"2023-2024",1.5,0.00090437527101838,0.0245239379490721,0.0138439296257472
