"Date","GrossExposure","PortfolioReturn","ForecastedRisk"
2023-05-05,1,-0.00298683320287801,0.0201309175737364
2023-05-05,1.5,-0.00458239224067772,0.0286155371132037
2023-05-05,2,-0.00610985632090362,0.0381540494842715
2023-05-05,2.5,-0.00763732040112953,0.0476925618553394
2023-05-05,3,-0.00916478448135543,0.0572310742264073
2023-05-08,1,0.000731805046417507,0.0201306864221034
2023-05-08,1.5,0.000943904876031178,0.0286176925795265
2023-05-08,2,0.00125853983470824,0.0381569234393687
2023-05-08,2.5,0.0015731747933853,0.0476961542992108
2023-05-08,3,0.00188780975206236,0.057235385159053
2023-05-09,1,0.000857994182760037,0.0195066778615283
2023-05-09,1.5,0.00120289530734702,0.02774866064008
2023-05-09,2,0.00160386040979602,0.0369982141867733
2023-05-09,2.5,0.00200482551224503,0.0462477677334667
2023-05-09,3,0.00240579061469403,0.05549732128016
2023-05-10,1,-0.000760780834047809,0.0301633056522699
2023-05-10,1.5,-0.00115030743658811,0.0446573695566132
2023-05-10,2,-0.00153374324878414,0.0595431594088177
2023-05-10,2.5,-0.00191717906098018,0.0744289492610221
2023-05-10,3,-0.00230061487317622,0.0893147391132265
2023-05-11,1,0.000539935106916946,0.0401209197804281
2023-05-11,1.5,0.000828366296931809,0.0599605507903959
2023-05-11,2,0.00110448839590908,0.0799474010538612
2023-05-11,2.5,0.00138061049488635,0.0999342513173265
2023-05-11,3,0.00165673259386362,0.119921101580792
2023-05-12,1,0.00103816105156631,0.0201024997824463
2023-05-12,1.5,0.00156410484124559,0.0285880040472926
2023-05-12,2,0.00208547312166078,0.0381173387297235
2023-05-12,2.5,0.00260684140207598,0.0476466734121544
2023-05-12,3,0.00312820968249118,0.0571760080945853
2023-05-15,1,-5.94105121933771e-06,0.0301141560627311
2023-05-15,1.5,-4.76769754945106e-05,0.0445702227300617
2023-05-15,2,-6.3569300659348e-05,0.0594269636400822
2023-05-15,2.5,-7.94616258241841e-05,0.0742837045501028
2023-05-15,3,-9.53539509890212e-05,0.0891404454601233
2023-05-16,1,-0.000325926041350045,0.0229998260352016
2023-05-16,1.5,-0.000669230312952924,0.0321739966085843
2023-05-16,2,-0.000892307083937232,0.0428986621447791
2023-05-16,2.5,-0.00111538385492154,0.0536233276809739
2023-05-16,3,-0.00133846062590585,0.0643479932171686
2023-05-17,1,0.00147032321550564,0.020094507502917
2023-05-17,1.5,0.00149301310144919,0.0285819595806034
2023-05-17,2,0.00199068413526559,0.0381092794408045
2023-05-17,2.5,0.00248835516908198,0.0476365993010056
2023-05-17,3,0.00298602620289838,0.0571639191612067
2023-05-18,1,0.000894553607199147,0.0245401194209192
2023-05-18,1.5,0.0013373089076232,0.0362637963689147
2023-05-18,2,0.00178307854349759,0.0483517284918863
2023-05-18,2.5,0.00222884817937199,0.0604396606148579
2023-05-18,3,0.00267461781524639,0.0725275927378294
2023-05-19,1,0.000239495007703323,0.0400856226783304
2023-05-19,1.5,0.000371821466455784,0.0599394466109304
2023-05-19,2,0.00049576195527438,0.0799192621479072
2023-05-19,2.5,0.000619702444092974,0.0998990776848839
2023-05-19,3,0.000743642932911568,0.119878893221861
2023-05-22,1,-0.00131966118164137,0.020100180659488
2023-05-22,1.5,-0.00221839878322434,0.0286141113742617
2023-05-22,2,-0.00295786504429911,0.0381521484990156
2023-05-22,2.5,-0.00369733130537389,0.0476901856237695
2023-05-22,3,-0.00443679756644867,0.0572282227485234
2023-05-23,1,-0.00408390965773118,0.0761929309073404
2023-05-23,1.5,-0.00507800701776148,0.102010123210403
2023-05-23,2,-0.00677067602368197,0.13601349761387
2023-05-23,2.5,-0.00846334502960246,0.170016872017338
